Country Name,Sub-Region,Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Southern Asia,Current health expenditure (% of GDP),..,..,9.44338989,8.94125843,9.80847359,9.94828987,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190681,7.89716816,8.80596447,9.52887821,10.10534763,10.96199989,11.77723598,9.39572716
Afghanistan,Southern Asia,Current health expenditure per capita (current US$),..,..,15.80316353,17.03574371,20.4127636,23.89050102,27.83657074,31.27183914,38.10266113,41.72274399,44.99053192,50.85347366,51.44026184,55.03462982,59.00893402,58.90652847,60.18867111,65.70602417,49.84260941
Afghanistan,Southern Asia,"Current health expenditure per capita, PPP (current international $)",..,..,77.79334259,78.92937469,85.64152527,96.39759827,108.8864365,102.5907974,125.533493,141.7833405,137.521698,136.9684448,143.3484497,161.9043884,181.8226166,191.2515106,208.6259918,228.1847839,186.4072876
Albania,Southern Europe,Current health expenditure (% of GDP),7.2333703,7.13952398,6.90934134,7.06348991,6.77337217,6.33554173,6.00927687,6.31683397,5.139081,4.60224104,4.74581575,4.79532719,5.05526161,5.38559914,5.50349331,4.89632177,4.91601992,5.01059723,5.26271439
Albania,Southern Europe,Current health expenditure per capita (current US$),80.61695099,89.58073425,96.27111816,125.9879761,156.5681763,165.2653351,174.5302429,222.3036652,220.4642487,186.4428101,192.0032196,211.0755158,213.7197418,236.957962,251.3582611,192.8851318,202.0133209,226.2806702,274.914093
Albania,Southern Europe,"Current health expenditure per capita, PPP (current international $)",275.7150574,300.2736206,314.3249512,343.9162903,358.0834045,362.531189,385.125885,449.9393616,415.065979,399.4658508,451.5030212,485.5844116,529.6279907,567.6070557,618.1102905,569.0728149,581.3525391,645.4707642,697.3048706
Algeria,Northern Africa,Current health expenditure (% of GDP),3.48903275,3.83787704,3.7300415,3.60104108,3.5440731,3.2351613,3.35510325,3.82141781,4.20188236,5.35939837,5.11716986,5.26748085,6.00050974,6.03576279,6.54721403,6.97849178,6.60778189,6.38032866,6.2184267
Algeria,Northern Africa,Current health expenditure per capita (current US$),61.58218002,66.80211639,66.46335602,75.7433548,92.50652313,100.713829,116.7143173,150.9656372,206.8851929,208.1199188,229.2894592,287.3861084,335.5619507,331.9416809,359.6421204,291.5535584,260.7725525,258.0395508,255.8694305
Algeria,Northern Africa,"Current health expenditure per capita, PPP (current international $)",284.8161011,325.4623718,335.0228882,348.6566773,362.7334595,356.584259,381.8020935,454.6324768,513.397522,658.8991089,647.593689,687.2164917,809.0169678,834.3734741,937.9777832,1026.626709,993.5761108,970.2682495,962.7193604
Andorra,Southern Europe,Current health expenditure (% of GDP),5.88990307,5.93786001,6.09685135,5.52953768,5.27981806,5.5754261,4.93509436,4.9255476,5.80598593,6.20233727,6.64963865,6.24652863,6.10150337,5.98780346,5.97912455,6.23245335,6.34349346,6.54431868,6.71033096
Andorra,Southern Europe,Current health expenditure per capita (current US$),1292.039429,1319.906006,1508.520752,1812.315796,2033.00354,2301.593506,2158.875732,2392.820313,2774.493408,2687.855957,2642.165527,2567.525391,2342.568359,2432.782715,2529.089844,2246.254395,2361.217529,2567.423828,2821.80127
Andorra,Southern Europe,"Current health expenditure per capita, PPP (current international $)",1921.069336,1993.254272,2195.727783,2141.031738,2154.355225,2435.207031,2325.578369,2394.910156,2630.661865,2725.120117,2770.769043,2565.226318,2681.185303,2755.264893,2888.261719,3096.173096,3065.615479,3319.405029,3607.000977
Angola,Middle Africa,Current health expenditure (% of GDP),1.90859938,4.48351622,3.32946134,3.54797316,3.96719909,2.85219526,2.68553543,2.97439122,3.32290339,3.84260798,2.69509959,2.64560771,2.39574957,2.73282671,2.43412876,2.60579467,2.71314979,2.79150295,2.54900527
Angola,Middle Africa,Current health expenditure per capita (current US$),12.99896717,28.91812134,29.04936409,34.87518692,49.81074142,54.26077652,69.81230164,92.86030579,135.6058197,119.9962845,96.69701385,122.1072311,122.185585,143.6068726,131.6476593,108.5829392,95.12497711,114.3346024,87.61676788
Angola,Middle Africa,"Current health expenditure per capita, PPP (current international $)",72.30455017,175.0035858,118.6651993,128.2453003,157.842804,129.9228058,135.5893555,169.4585419,206.7318726,234.1217957,167.9127045,167.9007111,162.2528229,190.7628937,175.2389069,184.9228363,183.3257294,185.6510162,164.7060242
Antigua and Barbuda,Caribbean,Current health expenditure (% of GDP),4.69438457,5.43587589,5.28793621,5.58626556,5.11667967,4.9945569,4.63347101,4.44986248,4.2048173,4.19123125,5.37907028,5.44257212,5.47921419,5.50909281,5.87269974,5.27965546,5.12190151,5.17094231,5.23155928
Antigua and Barbuda,Caribbean,Current health expenditure per capita (current US$),512.5682983,563.7371216,550.0645752,602.6936035,585.7212524,626.7166748,648.2271118,694.536438,673.8375244,591.4252319,701.8178101,693.807251,727.256958,711.2297974,792.8414917,754.2418823,778.4511108,795.5598145,875.1725464
Antigua and Barbuda,Caribbean,"Current health expenditure per capita, PPP (current international $)",775.6918335,859.0929565,845.5844116,952.8711548,935.611023,988.201355,1048.768555,1112.291504,1053.967041,915.7424927,1082.894775,1081.911255,1132.762207,1138.01123,1268.35083,1183.782959,1212.438354,1274.503418,1405.767944
Argentina,South America,Current health expenditure (% of GDP),8.46696377,8.62096786,7.64670229,7.11225414,7.22868299,7.61078882,7.64032841,7.83455086,8.1826973,9.45599556,9.44546413,9.41819859,9.82726669,9.78097916,9.67129993,10.22933769,9.00189686,10.45704365,9.62454033
Argentina,South America,Current health expenditure per capita (current US$),708.7695313,675.0578613,223.8486023,262.2865906,311.6450501,392.5887451,455.7980957,572.0401001,746.4932861,785.6702271,985.0344238,1208.391602,1368.422974,1421.657593,1286.217651,1531.484253,1153.534058,1529.616211,1127.907227
Argentina,South America,"Current health expenditure per capita, PPP (current international $)",1095.196899,1077.795166,852.2592773,871.6620483,905.5946045,1059.157471,1171.639038,1331.457764,1460.62207,1584.199829,1745.168091,1863.78125,1941.263306,1992.282227,1936.516235,2105.076172,1815.530396,2184.919189,1989.63562
Armenia,Western Asia,Current health expenditure (% of GDP),4.19581175,4.64563894,7.61358738,7.17936134,6.05510092,5.8618803,5.85007095,5.49814034,6.63976574,8.44377613,9.23538303,9.37588787,9.13455009,10.32345009,10.17827797,10.1176281,9.95195866,10.36270523,10.02538967
Armenia,Western Asia,Current health expenditure per capita (current US$),26.12908936,32.25933838,59.63238907,66.77802277,72.17178345,96.35484314,126.252945,172.6018677,266.3115845,252.8356018,297.2290649,330.5755615,336.3205566,396.232544,405.7288818,364.9728088,357.4577637,405.6506958,422.2826843
Armenia,Western Asia,"Current health expenditure per capita, PPP (current international $)",97.65171814,121.8019104,230.7771759,254.1229248,244.532486,279.7635498,328.1404114,363.3815308,482.3499451,534.2088623,606.3656616,658.1655884,698.7061768,826.1935425,855.4899292,883.0042725,876.6264648,996.9830322,1036.954468
Australia,Australia and New Zealand,Current health expenditure (% of GDP),7.61383343,7.69622898,7.89332151,7.90449524,8.10948753,7.99008226,7.98943853,8.06755352,8.25585651,8.56316471,8.4308424,8.54153824,8.67564774,8.76116371,9.03597069,9.32331181,9.20071316,9.20544815,9.28459835
Australia,Australia and New Zealand,Current health expenditure per capita (current US$),1638.814941,1564.166504,1770.466187,2249.290771,2767.136963,3013.087646,3184.807617,3799.737549,4090.761963,3995.340088,4945.038086,5861.702637,6025.344727,5813.985352,5607.917969,4860.37207,4971.614746,5308.783203,5425.340332
Australia,Australia and New Zealand,"Current health expenditure per capita, PPP (current international $)",2155.093506,2277.918945,2438.218262,2561.377686,2752.94458,2841.891357,3012.49292,3181.015625,3297.279053,3553.898193,3587.327637,3760.759766,3778.473633,4161.620117,4283.14209,4388.905273,4612.809082,4725.449707,5004.866699
Austria,Western Europe,Current health expenditure (% of GDP),9.20371437,9.26942921,9.3947649,9.5472393,9.70939827,9.62702942,9.5311327,9.53209686,9.72564602,10.22582531,10.22101879,10.02613258,10.19915581,10.28574944,10.36809254,10.36746693,10.3522625,10.38262367,10.32559872
Austria,Western Europe,Current health expenditure per capita (current US$),2269.126465,2282.515869,2497.865967,3091.240234,3594.650391,3710.397949,3882.981934,4478.768555,5057.760742,4928.987793,4800.793457,5167.817871,4966.095703,5235.341309,5393.602051,4612.824219,4709.875977,4937.977051,5326.437012
Austria,Western Europe,"Current health expenditure per capita, PPP (current international $)",2707.868164,2761.789063,2935.818604,3073.540527,3288.088135,3381.659912,3591.531738,3760.330566,4024.80249,4192.42334,4302.709961,4465.65918,4750.581543,4945.449707,5082.537109,5206.01709,5476.121094,5674.062012,5879.103027
Azerbaijan,Western Asia,Current health expenditure (% of GDP),2.94894385,2.75584769,2.73274231,2.73488688,2.66530418,2.26107669,2.06678391,1.99021435,1.93880868,2.6137836,2.48996663,2.44641805,2.96481562,3.03672314,3.37713742,4.10663605,4.03655434,3.73651457,3.51373243
Azerbaijan,Western Asia,Current health expenditure per capita (current US$),19.14171791,19.18987465,20.59066963,23.80161095,27.38257599,35.07611465,50.24787903,75.39520264,107.3614349,129.7258606,145.8452606,176.4084778,222.9855194,239.9508057,267.3097229,226.510025,156.9957275,155.0982666,165.7674408
Azerbaijan,Western Asia,"Current health expenditure per capita, PPP (current international $)",107.0445862,111.3391495,121.5560379,135.18013,146.262146,162.0110474,202.9701233,249.0969544,270.5506897,397.3456421,396.4650574,386.5420837,481.7181397,524.5530396,603.2938232,740.1280518,704.619751,655.4160767,633.5621338
Bahamas,Caribbean,Current health expenditure (% of GDP),3.80487037,3.92440891,3.81251955,4.01998568,4.04628181,4.03196478,4.30935764,4.4963069,4.8630805,5.15085459,5.25673914,5.32418823,5.31907082,5.59397602,5.67255783,5.20896244,5.61615086,6.83129883,6.24896193
Bahamas,Caribbean,Current health expenditure per capita (current US$),1030.968994,1078.694458,1100.532593,1138.740601,1148.942383,1220.788208,1323.530884,1415.036743,1489.427246,1470.687744,1495.231323,1491.041626,1568.287964,1609.317993,1670.240356,1635.882935,1774.021729,2174.176758,2013.379272
Bahamas,Caribbean,"Current health expenditure per capita, PPP (current international $)",998.270813,1063.632935,1060.33252,1104.763428,1131.157837,1179.676514,1306.84314,1393.649902,1473.509766,1481.418213,1529.697876,1570.758301,1630.545532,1676.990601,1729.072754,1598.919922,1733.274048,2128.264404,2005.246216
Bahrain,Western Asia,Current health expenditure (% of GDP),3.56132603,3.68104196,3.85486555,3.98856878,3.47338176,3.17561626,3.06248927,3.30373311,3.28510404,4.05684614,3.84291482,3.57691312,4.10642147,4.30853891,4.40681839,4.97506618,4.85823059,4.74813128,4.13356352
Bahrain,Western Asia,Current health expenditure per capita (current US$),485.6864624,484.9073486,503.0300598,567.2379761,550.3598023,570.2942505,591.3112793,692.9683228,757.736145,785.2603149,796.3184204,805.3147583,971.3684692,1066.132446,1101.256836,1128.759155,1098.883545,1126.066895,994.1790161
Bahrain,Western Asia,"Current health expenditure per capita, PPP (current international $)",1273.775391,1344.865601,1370.405273,1449.344116,1301.074951,1222.312378,1199.634155,1331.332397,1332.588013,1599.346558,1527.167969,1436.78479,1714.593994,1907.559326,2041.803711,2333.835449,2293.840576,2263.042969,1955.351929
Bangladesh,Southern Asia,Current health expenditure (% of GDP),2.00194621,1.98674393,2.15190268,2.19150281,2.21405101,2.27546501,2.32201099,2.38769174,2.34595656,2.4033823,2.49591565,2.56593657,2.57301211,2.50334787,2.49601078,2.46311474,2.31178045,2.27522182,2.3428061
Bangladesh,Southern Asia,Current health expenditure per capita (current US$),8.56026173,8.36238003,9.34001255,10.27598572,11.08631516,11.60705376,12.33577824,14.31881523,15.80424309,17.92318726,20.80270004,22.84561729,23.45907974,26.67387962,29.74625206,32.84908676,34.58186722,37.43084717,41.90905762
Bangladesh,Southern Asia,"Current health expenditure per capita, PPP (current international $)",28.57949066,29.5722599,33.49920273,35.6379509,38.64549637,43.11886597,47.78532028,53.44993591,55.53520584,59.82237625,66.13795471,73.19186401,78.18016052,80.5224762,86.07568359,91.09870148,91.44863129,97.28712463,109.6439209
Barbados,Caribbean,Current health expenditure (% of GDP),5.33187246,5.52529192,5.86123419,6.68377304,7.31510305,6.76892185,6.58324289,6.05583191,6.47676373,7.1486845,6.77398682,6.89933872,7.77819967,7.49560881,6.99789667,6.7748456,6.68155098,6.62216997,6.56259155
Barbados,Caribbean,Current health expenditure per capita (current US$),600.80896,619.3395996,665.9202881,781.9650879,915.3046265,935.6404419,1000.617188,1015.606689,1107.046021,1135.609863,1087.656494,1135.5177,1263.918701,1233.114868,1153.884155,1119.548218,1129.193359,1151.693726,1164.544556
Barbados,Caribbean,"Current health expenditure per capita, PPP (current international $)",665.4863281,685.5407715,742.0484619,877.7046509,997.0071411,985.1257324,1059.881226,1015.278198,1112.115845,1171.839478,1095.031006,1126.060791,1289.759888,1244.743408,1179.974609,1175.320923,1196.601074,1204.416016,1203.786865
Belarus,Eastern Europe,Current health expenditure (% of GDP),5.46676111,5.9044199,5.81475353,5.96711493,5.93219662,6.27653837,5.76295853,5.88534021,5.47281408,5.39037848,5.65693998,4.87438536,5.245327,5.69559479,5.38793373,6.06533337,5.91054153,5.75974846,5.64426613
Belarus,Eastern Europe,Current health expenditure per capita (current US$),57.66816711,74.33643341,87.08403778,109.8769302,142.7480164,198.3073731,223.831192,281.0776367,351.7279663,290.7015381,343.6791077,319.7537231,365.874939,456.4916687,450.2226257,362.7528381,298.6265869,333.5410767,356.2507324
Belarus,Eastern Europe,"Current health expenditure per capita, PPP (current international $)",332.9649658,387.32724,409.8657227,461.6594544,528.7480469,634.7426148,663.6184692,758.6721802,794.8526611,792.0744629,885.4268799,841.9261475,938.7692871,1046.929932,1025.634277,1121.33252,1076.044312,1095.046143,1132.469482
Belgium,Western Europe,Current health expenditure (% of GDP),7.9991765,8.14988804,8.3182106,9.20770645,9.36668777,9.26218891,9.16210842,9.16709423,9.63237667,10.35561562,10.23373413,10.39215851,10.50683689,10.56154251,10.44007111,10.42703342,10.28172588,10.40608311,10.31865311
Belgium,Western Europe,Current health expenditure per capita (current US$),1849.916016,1879.934814,2084.719971,2828.171631,3326.450195,3420.078857,3558.54248,4078.583252,4671.56543,4653.915039,4544.996094,4943.832031,4706.618164,4947.864746,4999.188477,4290,4328.846191,4618.208984,4912.700684
Belgium,Western Europe,"Current health expenditure per capita, PPP (current international $)",2226.010986,2352.495361,2524.578613,2850.669434,3007.659668,3082.637451,3237.81543,3382.28418,3663.811523,3928.75708,4100.811523,4269.349121,4455.875488,4621.219238,4702.52832,4834.505371,5006.811523,5289.400391,5404.916016
